

Year_of_Publication,ARTICLE_COUNT
1900,89
1901,87
1902,78
1903,83
1904,86
1905,104
1906,101
1907,87
1908,106
1909,97
1910,110
1911,88
1912,129
1913,163
1914,125
1915,117
1916,126
1917,127
1918,155
1919,127
1920,142
1921,184
1922,114
1923,129
1924,106
1925,195
1926,270
1927,300
1928,280
1929,372
1930,344
1931,320
1932,384
1933,315
1934,327
1935,372
1936,304
1937,282
1938,293
1939,313
1940,320
1941,271






